DATE,PLAYER,SOURCE,CHEST,SCORE
2025-03-11,Feldjäger,Level 25 Crypt,Fire Chest,275
2025-03-11,Feldjäger,Level 25 rare Crypt,Rare Dragon Chest,350
2025-03-11,Feldjäger,Level 25 Crypt,Bone Chest,275
2025-03-11,Feldjäger,Level 25 epic Crypt,Ancient Bastion Chest,550
2025-03-11,Feldjäger,Level 25 rare Crypt,Rare Dragon Chest,350
2025-03-11,Krümelmonster,Level 20 Crypt,Infernal Chest,84
2025-03-11,Krümelmonster,Level 25 Crypt,Infernal Chest,275
2025-03-11,Krümelmonster,Level 25 Crypt,Infernal Chest,275
2025-03-11,Krümelmonster,Level 25 Crypt,Infernal Chest,275
2025-03-11,Krümelmonster,Level 25 Crypt,Infernal Chest,275
2025-03-11,Roin,Bank,Wooden Chest,20
2025-03-11,Roin,Bank,Wooden Chest,20
2025-03-11,Roin,Bank,Wooden Chest,20
2025-03-11,Roin,Bank,Bronze Chest,40
2025-03-11,Roin,Bank,Bronze Chest,40
2025-03-11,Roin,Bank,Bronze Chest,40
2025-03-11,Metaur,Bank,Wooden Chest,20
2025-03-11,Metaur,Bank,Wooden Chest,20
2025-03-11,Metaur,Bank,Wooden Chest,20
2025-03-11,Cenn,Bank,Wooden Chest,20
2025-03-11,Cenn,Bank,Wooden Chest,20
2025-03-11,Cenn,Bank,Wooden Chest,20
2025-03-11,Moraron,Bank,Wooden Chest,20
2025-03-11,Moraron,Bank,Wooden Chest,20
2025-03-11,Moraron,Bank,Wooden Chest,20
2025-03-11,Moraron,Bank,Bronze Chest,40
2025-03-11,Moraron,Bank,Bronze Chest,40
2025-03-11,Moraron,Bank,Bronze Chest,40
2025-03-11,Cenn,Bank,Bronze Chest,40
2025-03-11,Cenn,Bank,Bronze Chest,40
2025-03-11,Cenn,Bank,Bronze Chest,40
2025-03-11,Triple X,Level 20 epic Crypt,House of Horrors Chest,168
2025-03-11,Triple X,Level 30 rare Crypt,Rare Dragon Chest,500
2025-03-11,Triple X,Level 30 rare Crypt,Rare Dragon Chest,500
2025-03-11,Triple X,Level 25 epic Crypt,Trillium Chest,550
2025-03-11,Triple X,Level 25 epic Crypt,Scarab Chest,550
2025-03-11,Triple X,Level 25 epic Crypt,Minotaur Chest,550
2025-03-11,Triple X,Level 25 epic Crypt,Chest of the Cursed,550
2025-03-11,Triple X,Level 25 epic Crypt,Cobalt Chest,550
2025-03-11,Bumblebee,Clan wealth,Common Chest of Wealth,0
2025-03-11,Bumblebee,Clan wealth,Uncommon Chest of Wealth,0
2025-03-11,Bumblebee,Clan wealth,Rare Chest of Wealth,0
2025-03-11,Bumblebee,Clan wealth,Epic Chest of Wealth,0
2025-03-11,Dagdarim,Level 20 Crypt,Cobra Chest,84
2025-03-11,Dagdarim,Level 20 Crypt,Cobra Chest,84
2025-03-11,Dagdarim,Level 20 Crypt,Cobra Chest,84
2025-03-11,Dagdarim,Level 20 Crypt,Cobra Chest,84
2025-03-11,Dagdarim,Level 20 Crypt,Cobra Chest,84
2025-03-11,Dagdarim,Level 20 Crypt,Cobra Chest,84
2025-03-11,Dagdarim,Level 20 Crypt,Cobra Chest,84
2025-03-11,Dagdarim,Level 20 Crypt,Cobra Chest,84
2025-03-11,Runebinder,Level 30 rare Crypt,Rare Dragon Chest,500
2025-03-11,Runebinder,Level 30 rare Crypt,Rare Dragon Chest,500
2025-03-11,Runebinder,Level 25 rare Crypt,Rare Dragon Chest,350
2025-03-11,Runebinder,Level 25 epic Crypt,Trillium Chest,550
2025-03-11,Runebinder,Level 25 epic Crypt,Trillium Chest,550
2025-03-11,Runebinder,Level 25 epic Crypt,Trillium Chest,550
2025-03-11,Runebinder,Level 25 epic Crypt,Trillium Chest,550
2025-03-11,Runebinder,Level 25 Crypt,Infernal Chest,275
2025-03-11,Runebinder,Level 25 Crypt,Sand Chest,275
2025-03-11,Runebinder,Level 25 Crypt,Stone Chest,275
2025-03-11,Runebinder,Level 25 Crypt,Stone Chest,275
2025-03-11,Runebinder,Level 25 Crypt,Forgotten Chest,275
2025-03-11,Runebinder,Level 25 Crypt,Fire Chest,275
2025-03-11,Runebinder,Level 25 Crypt,Elegant Chest,275
2025-03-11,Runebinder,Level 25 Crypt,Bone Chest,275
2025-03-11,Runebinder,Level 25 Crypt,Barbarian Chest,275
2025-03-11,Runebinder,Level 25 Crypt,Barbarian Chest,275
2025-03-11,Runebinder,Level 25 Crypt,Infernal Chest,275
2025-03-11,Runebinder,Level 25 Crypt,Infernal Chest,275
2025-03-11,Runebinder,Level 25 Crypt,Infernal Chest,275
2025-03-11,Runebinder,Level 25 Crypt,Barbarian Chest,275
2025-03-11,Runebinder,Level 25 Crypt,Barbarian Chest,275
2025-03-11,Runebinder,Level 25 Crypt,Sand Chest,275
2025-03-11,Runebinder,Level 25 Crypt,Forgotten Chest,275
2025-03-11,Moony,Level 15 Citadel,Elven Citadel Chest,17
2025-03-11,Moony,Level 15 Citadel,Elven Citadel Chest,17
2025-03-11,Moony,Level 15 Citadel,Elven Citadel Chest,17
2025-03-11,Metaur,Level 20 Crypt,Forgotten Chest,84
2025-03-11,Moony,Level 15 Citadel,Elven Citadel Chest,17
2025-03-11,Fluxsfire,Level 25 Crypt,Orc Chest,275
2025-03-11,Moony,Level 15 Citadel,Elven Citadel Chest,17
