CHEST,SCORE
are Dragon Chest,229602
Rare Dragon Chest,143245
Elven Citadel Chest,118065
White Wood Chest,82222
Orc Chest,79886
Cobra Chest,76455
Barbarian Chest,70925
Forgotten Chest,60391
Stone Chest,58387
Sand Chest,55295
Infernal Chest,55258
Mayan Chest,50490
Bone Chest,49856
Elegant Chest,46327
Fire Chest,45544
Ancient Warrior's Chest,44924
Gnome Workshop Chest,41430
Cobalt Chest,37082
Priest's Chest,34640
Scarab Chest,31090
Turtle Chest,29950
Braided Chest,29686
Minotaur Chest,28710
Epic Monster Chest,28000
Golden Chest,27260
Trillium Chest,22574
Titansteel Chest,22190
Harpy Chest,21316
Scorpion Chest,20888
Abandoned Chest,17714
Chest of the Cursed,17440
House of Horrors Chest,14836
Ancients Chest,11200
Ancient Bastion Chest,10514
Precious Chest,7510
Shadow Chest,7000
Chest of Authority,5600
Cursed Citadel Chest,5054
Undead Chest,4090
Elven Chest,4015
Cursed Chest,3970
Inferno Chest,3940
Union Chest,3000
Bronze Chest,1350
Wooden Chest,960
Quick March Chest,930
Silver Chest,510
Merchant's Chest,360
Runic Chest,340
Gladiator's Chest,84
Jormungandr's Chest,50
Arachne Chest,40
Magic Chest,10
Governor's Chest,5
Common Chest of Wealth,0
Basilisk Chest,0
Epic Chest of Wealth,0
Rare Chest of Wealth,0
Pacified Mimic Chest,0
Hell's Blacksmith's Chest,0
Uncommon Chest of Wealth,0
